amp,sigmaX,sigmaY,sigmaZ,bkg,ampUB,ampLB,sigmaXUb,sigmaXLb,sigmaYUb,sigmaYLb,sigmaZUb,sigmaZLb,bkgUb,bkgLb
0.15,1.2,1.2,1.2,0.13,0.2,0.13,1.4,1,1.4,1,1.4,1,0.2,0.1
1,,,2,,,,5,,,,,,,10
